Airport,Year,Month,Domestic_Inbound,Domestic_Outbound,Domestic_Total,International_Inbound,International_Outbound,International_Total,Total_Inbound,Total_Outbound,Total_Passengers
ADELAIDE,2009,1,259510,258122,517632,25145,19968,45113,284655,278090,562745
ADELAIDE,2009,2,234778,232142,466920,21389,14795,36184,256167,246937,503104
ADELAIDE,2009,3,280441,284820,565261,19466,18154,37620,299907,302974,602881
ADELAIDE,2009,4,274359,281163,555522,20087,21353,41440,294446,302516,596962
ADELAIDE,2009,5,258273,258930,517203,17085,19321,36406,275358,278251,553609
ADELAIDE,2009,6,242263,242610,484873,17680,19449,37129,259943,262059,522002
ADELAIDE,2009,7,269949,272217,542166,24152,21200,45352,294101,293417,587518
ADELAIDE,2009,8,269480,269355,538835,20859,19768,40627,290339,289123,579462
ADELAIDE,2009,9,264127,267734,531861,22039,22699,44738,286166,290433,576599
ADELAIDE,2009,10,284313,277153,561466,26544,20496,47040,310857,297649,608506
ADELAIDE,2009,11,264644,266874,531518,21906,21543,43449,286550,288417,574967
ADELAIDE,2009,12,262735,264356,527091,21402,24899,46301,284137,289255,573392
ADELAIDE,2010,1,260489,258574,519063,26569,22236,48805,287058,280810,567868
ADELAIDE,2010,2,251775,248044,499819,21576,16706,38282,273351,264750,538101
ADELAIDE,2010,3,292054,294892,586946,22086,20609,42695,314140,315501,629641
ADELAIDE,2010,4,290702,296008,586710,22393,23027,45420,313095,319035,632130
ADELAIDE,2010,5,269597,272381,541978,18231,21100,39331,287828,293481,581309
ADELAIDE,2010,6,260162,264413,524575,19742,21699,41441,279904,286112,566016
ADELAIDE,2010,7,293548,297128,590676,25332,21846,47178,318880,318974,637854
ADELAIDE,2010,8,283786,283560,567346,21613,21756,43369,305399,305316,610715
ADELAIDE,2010,9,282205,287767,569972,23201,22552,45753,305406,310319,615725
ADELAIDE,2010,10,313687,301158,614845,27111,19830,46941,340798,320988,661786
ADELAIDE,2010,11,283723,284665,568388,22317,21729,44046,306040,306394,612434
ADELAIDE,2010,12,292916,295017,587933,23166,25965,49131,316082,320982,637064
ADELAIDE,2011,1,275339,273902,549241,26556,22938,49494,301895,296840,598735
ADELAIDE,2011,2,253474,247288,500762,22587,17514,40101,276061,264802,540863
ADELAIDE,2011,3,293734,295355,589089,21787,21351,43138,315521,316706,632227
ADELAIDE,2011,4,282981,286574,569555,22983,25799,48782,305964,312373,618337
ADELAIDE,2011,5,273748,274350,548098,21287,24027,45314,295035,298377,593412
ADELAIDE,2011,6,237077,237976,475053,21671,22929,44600,258748,260905,519653
ADELAIDE,2011,7,273786,277032,550818,28138,25253,53391,301924,302285,604209
ADELAIDE,2011,8,263100,263060,526160,25653,24324,49977,288753,287384,576137
ADELAIDE,2011,9,262527,261455,523982,25906,25166,51072,288433,286621,575054
ADELAIDE,2011,10,278028,273082,551110,28930,23095,52025,306958,296177,603135
ADELAIDE,2011,11,264907,266632,531539,24604,23324,47928,289511,289956,579467
ADELAIDE,2011,12,262361,260566,522927,26035,31216,57251,288396,291782,580178
ADELAIDE,2012,1,258727,260757,519484,34486,27251,61737,293213,288008,581221
ADELAIDE,2012,2,250287,241533,491820,26957,20520,47477,277244,262053,539297
ADELAIDE,2012,3,277032,282302,559334,25746,25886,51632,302778,308188,610966
ADELAIDE,2012,4,264048,267193,531241,25399,26317,51716,289447,293510,582957
ADELAIDE,2012,5,261753,264360,526113,20661,24575,45236,282414,288935,571349
ADELAIDE,2012,6,243743,249972,493715,23206,26101,49307,266949,276073,543022
ADELAIDE,2012,7,275669,269885,545554,31466,24802,56268,307135,294687,601822
ADELAIDE,2012,8,263168,265243,528411,24624,24733,49357,287792,289976,577768
ADELAIDE,2012,9,269802,270676,540478,27126,27912,55038,296928,298588,595516
ADELAIDE,2012,10,287626,281100,568726,30722,22970,53692,318348,304070,622418
ADELAIDE,2012,11,285081,283544,568625,28453,30172,58625,313534,313716,627250
ADELAIDE,2012,12,271564,271750,543314,31996,37996,69992,303560,309746,613306
ADELAIDE,2013,1,262467,266159,528626,39912,30336,70248,302379,296495,598874
ADELAIDE,2013,2,245055,237296,482351,32894,25038,57932,277949,262334,540283
ADELAIDE,2013,3,282049,284894,566943,30633,30591,61224,312682,315485,628167
ADELAIDE,2013,4,280700,287113,567813,30059,33507,63566,310759,320620,631379
ADELAIDE,2013,5,259610,263814,523424,25232,29676,54908,284842,293490,578332
ADELAIDE,2013,6,249959,247004,496963,27642,30977,58619,277601,277981,555582
ADELAIDE,2013,7,285287,290626,575913,38906,33858,72764,324193,324484,648677
ADELAIDE,2013,8,269836,269808,539644,33245,31092,64337,303081,300900,603981
ADELAIDE,2013,9,272655,272652,545307,34517,35056,69573,307172,307708,614880
ADELAIDE,2013,10,306551,300868,607419,39954,28567,68521,346505,329435,675940
