Airport ,Year,Month,Domestic_Inbound,Domestic_Outbound,Domestic_Total,International_Inbound,International_Outbound,International_Total,Total_Inbound,Total_Outbound,Total_Passengers 
ADELAIDE,2009,1,"259,510","258,122","517,632","25,145","19,968","45,113","284,655","278,090","562,745"
ADELAIDE,2009,2,"234,778","232,142","466,920","21,389","14,795","36,184","256,167","246,937","503,104"
ADELAIDE,2009,3,"280,441","284,820","565,261","19,466","18,154","37,620","299,907","302,974","602,881"
ADELAIDE,2009,4,"274,359","281,163","555,522","20,087","21,353","41,440","294,446","302,516","596,962"
ADELAIDE,2009,5,"258,273","258,930","517,203","17,085","19,321","36,406","275,358","278,251","553,609"
ADELAIDE,2009,6,"242,263","242,610","484,873","17,680","19,449","37,129","259,943","262,059","522,002"
ADELAIDE,2009,7,"269,949","272,217","542,166","24,152","21,200","45,352","294,101","293,417","587,518"
ADELAIDE,2009,8,"269,480","269,355","538,835","20,859","19,768","40,627","290,339","289,123","579,462"
ADELAIDE,2009,9,"264,127","267,734","531,861","22,039","22,699","44,738","286,166","290,433","576,599"
ADELAIDE,2009,10,"284,313","277,153","561,466","26,544","20,496","47,040","310,857","297,649","608,506"
ADELAIDE,2009,11,"264,644","266,874","531,518","21,906","21,543","43,449","286,550","288,417","574,967"
ADELAIDE,2009,12,"262,735","264,356","527,091","21,402","24,899","46,301","284,137","289,255","573,392"
ADELAIDE,2010,1,"260,489","258,574","519,063","26,569","22,236","48,805","287,058","280,810","567,868"
ADELAIDE,2010,2,"251,775","248,044","499,819","21,576","16,706","38,282","273,351","264,750","538,101"
ADELAIDE,2010,3,"292,054","294,892","586,946","22,086","20,609","42,695","314,140","315,501","629,641"
ADELAIDE,2010,4,"290,702","296,008","586,710","22,393","23,027","45,420","313,095","319,035","632,130"
ADELAIDE,2010,5,"269,597","272,381","541,978","18,231","21,100","39,331","287,828","293,481","581,309"
ADELAIDE,2010,6,"260,162","264,413","524,575","19,742","21,699","41,441","279,904","286,112","566,016"
ADELAIDE,2010,7,"293,548","297,128","590,676","25,332","21,846","47,178","318,880","318,974","637,854"
ADELAIDE,2010,8,"283,786","283,560","567,346","21,613","21,756","43,369","305,399","305,316","610,715"
ADELAIDE,2010,9,"282,205","287,767","569,972","23,201","22,552","45,753","305,406","310,319","615,725"
ADELAIDE,2010,10,"313,687","301,158","614,845","27,111","19,830","46,941","340,798","320,988","661,786"
ADELAIDE,2010,11,"283,723","284,665","568,388","22,317","21,729","44,046","306,040","306,394","612,434"
ADELAIDE,2010,12,"292,916","295,017","587,933","23,166","25,965","49,131","316,082","320,982","637,064"
ADELAIDE,2011,1,"275,339","273,902","549,241","26,556","22,938","49,494","301,895","296,840","598,735"
ADELAIDE,2011,2,"253,474","247,288","500,762","22,587","17,514","40,101","276,061","264,802","540,863"
ADELAIDE,2011,3,"293,734","295,355","589,089","21,787","21,351","43,138","315,521","316,706","632,227"
ADELAIDE,2011,4,"282,981","286,574","569,555","22,983","25,799","48,782","305,964","312,373","618,337"
ADELAIDE,2011,5,"273,748","274,350","548,098","21,287","24,027","45,314","295,035","298,377","593,412"
ADELAIDE,2011,6,"237,077","237,976","475,053","21,671","22,929","44,600","258,748","260,905","519,653"
ADELAIDE,2011,7,"273,786","277,032","550,818","28,138","25,253","53,391","301,924","302,285","604,209"
ADELAIDE,2011,8,"263,100","263,060","526,160","25,653","24,324","49,977","288,753","287,384","576,137"
ADELAIDE,2011,9,"262,527","261,455","523,982","25,906","25,166","51,072","288,433","286,621","575,054"
ADELAIDE,2011,10,"278,028","273,082","551,110","28,930","23,095","52,025","306,958","296,177","603,135"
ADELAIDE,2011,11,"264,907","266,632","531,539","24,604","23,324","47,928","289,511","289,956","579,467"
ADELAIDE,2011,12,"262,361","260,566","522,927","26,035","31,216","57,251","288,396","291,782","580,178"
ADELAIDE,2012,1,"258,727","260,757","519,484","34,486","27,251","61,737","293,213","288,008","581,221"
ADELAIDE,2012,2,"250,287","241,533","491,820","26,957","20,520","47,477","277,244","262,053","539,297"
ADELAIDE,2012,3,"277,032","282,302","559,334","25,746","25,886","51,632","302,778","308,188","610,966"
ADELAIDE,2012,4,"264,048","267,193","531,241","25,399","26,317","51,716","289,447","293,510","582,957"
ADELAIDE,2012,5,"261,753","264,360","526,113","20,661","24,575","45,236","282,414","288,935","571,349"
ADELAIDE,2012,6,"243,743","249,972","493,715","23,206","26,101","49,307","266,949","276,073","543,022"
ADELAIDE,2012,7,"275,669","269,885","545,554","31,466","24,802","56,268","307,135","294,687","601,822"
ADELAIDE,2012,8,"263,168","265,243","528,411","24,624","24,733","49,357","287,792","289,976","577,768"
ADELAIDE,2012,9,"269,802","270,676","540,478","27,126","27,912","55,038","296,928","298,588","595,516"
ADELAIDE,2012,10,"287,626","281,100","568,726","30,722","22,970","53,692","318,348","304,070","622,418"
